Company Name,Factory Address,Principal Exportable Product
Ducati Apparels Ltd.,"Kathgara, Ashulia
Dhaka
Dhaka",Sweaters
Duke Garments Limited,"146-148, Anupom Super Market, Out Para, Joydevpur Chowrasta
Gazipur","Jackets
											 ,Pants											,Trousers											,Shorts"
Dulal Brothers Ltd.,"Sardaganj, Kashimpur, Gazipur
Dhaka
Dhaka","T-Shirts
											 ,Polo Shirts											,Trousers"
Duranto Knit Composite Ltd.,"A/64 (Part), 65 & 66, BSCIC I/E,
Gazipur
Konabari","T-Shirts
											 ,Polo Shirts"
Dwell Fashions Ltd.,"94, Mohakhali C/A, (4th, 5th & 6th Floor)
Dhaka
Gulshan","Shirts
											 ,Denim Pants											,Trousers											,Fleece Jackets"
Dynamic Fashions Ltd.,"1/1, Ring Road,
Dhaka
Shamoli","Shirts
											 ,Blouses											,Trousers											,Pajama Sets"
Dynamic Sweater Inds. Ltd.,"10, Ganda,
Dhaka
Dhaka","Ladies
											 ,Men's											,Kids"
Dynasty Knit Fashions Ltd.,"Aukpara, Ashulia
Dhaka
Savar","Sweaters
											 ,Pullovers											,Cardigans"
Dynasty Sweater (BD) Ltd.,"Aukpara, Ashulia
Dhaka
Savar","Sweaters
											 ,Pullovers											,Cardigans"
E.H. Fabrics Ltd.,"221-225, Sataish Road, Khortoli
Gazipur
Gazipura","Shirts
											 ,Trousers											,Blouses"
Earl Fashion Ltd.,"Ojhar Para, National University
Gazipur
National University","Pullovers
											 ,Jursey"
Earthee Wear Ltd.,"House # 1, Road # 9, Block - A, Section # 12
Dhaka
Mirpur","T-Shirts
											 ,Polo Shirts											,Trousers											,Sweat Shirts"
N/A,N/A,N/A
East West Dress Pant Ltd.,"Chaydana,
Gazipur
K.B. Bazar","Jackets
											 ,Shorts"
East West Fashion Garments Ltd.,"Chaydana,
Gazipur
Gazipur","Shorts
											 ,Trousers											,Skirts"
East West Services Ltd.,"232-234, Tejgaon I/A,
Dhaka
Tejgaon","Shirts
											 ,Pants											,Shorts											,Skirts"
Eastern Apparels Ltd.,"Noor Arcade (5th Floor), 9/A, Jubulee Road
Chittagong","Babys Wears
											 ,T-Shirts											,Long Pants"
Eastern Dresses Ltd.,"Auto Complex, 221, Dewanhat
Chittagong","Babys Wears
											 ,T-Shirts											,Long Pants"
Eastern Garments Ltd.,"M-16,Senpara Parbata Section 14,
Dhaka
Mirpur",
Eastern Knit Wear Ltd.,"1670/2091, West Sholoshahar, Aturar Depot
Chittagong","Long Pants
											 ,Short Pants											,Trousers"
N/A,N/A,N/A
N/A,N/A,N/A
Eastern Garments,"287, Alirmore, North Badda
Dhaka
B. Baria","Shirts
											 ,T-Shirts											,Polo Shirts"
Echotex Ltd.,"Chandra (Palli Buddut), Mouckak
Gazipur
B. Baria","Knit Tops
											 ,Knit Bottoms"
Eco Couture Ltd.,"447-450, N-105, Dhaka BI-PASS Road, Mogorkhal, P.O. National University
Gazipur
Joydebpur","T-Shirts
											 ,Plo Shirts"
N/A,N/A,N/A
Ecofab Ltd.,"148-149, N-105, Dhaka BI-Pass Road, Jogitala,, Brri,Gazipur Sadar
Gazipur
Gazipur Sadar",Shirts
Ecomax Limited,"Zakaria Mansion, South Kalmeshwar, National University
Gazipur
Board Bazar",Sweaters
ECTA Dhaka Ltd.,"Subondi (Natun Nagor), Ashulia
Dhaka
Savar","Caps
											 ,Hats"
Eden Apparels Ltd.,"Plot # Ka - 58,  Joar Shahara Bazar
Dhaka
Catonment","Shirts
											 ,Shorts											,Trousers											,Pants"
Eden Fashions Ltd.,"1142, Askarabad, Mistri Para, Sk. Mujib Road
Chittagong
Chittagong","Jackets
											 ,Swim Trunks											,Trousers											,Denim Items"
N/A,N/A,N/A
EFA Apparels Ltd.,"Jahan Building No. 4 (5th floor), 76, Agrabad C/A
Chittagong","Trousers
											 ,Pants											,Cappri											,Shorts"
EFE Textile Ltd.,"Tonga Bari, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,T-Shirts"
EGT Textiles Ltd.,"Gilarchalar, Mouza & Keowa, Sreepur
Gazipur","Mattress
											 ,Cover Bed Linen											,Window Cover											,Ticking Fabric"
N/A,N/A,N/A
Ehsan Fashions Ltd.,"B-40, BSCIC Inds Estate,
Gazipur
Tongi","Sweaters
											 ,Cardigans											,Jumpers											,Pullovers"
Ehsan Garments Ltd.,"Kunia, K.B. Bazar
Gazipur
Gazipur","Shirts
											 ,Trousers											,Blouses"
N/A,N/A,N/A
Eian Apparels Ltd.,"Jaks Shopping Complex, 316, Sk. Mujub Road
Chittagong","Shirts
											 ,Pants											,Jackets											,Shorts"
Ekram Sweaters Ltd.,"Valuka, Kathali
Mymensingh
Mymensingh","Cardigans
											 ,Pullovers											,Dress											,Skirts"
Elahi Garments Ltd.,"40, Agrabad C/A,
Chittagong
Agrabad","Shirts
											 ,Pants"
Elaine Apparels Ltd.,"Charabagh, Amtala, Ashulia
Dhaka
B. Baria","Fleece Jackets
											 ,Polo Shirts											,Ladies Items"
Elate Fashion Ltd.,"A934/6-7, Khilgaon,
Dhaka
Khilgaon","Jogging Sets
											 ,Jackets											,Pants"
Elegance Orientale Ltd.,"Jangaliapara, Vawal
Gazipur
Gazipur",Sweaters
Elham Fashion Ltd.,"466, Uttar Khailkoir, Bat tala, Bord Bazar
Gazipur
B. Baria",",Polo Shirts"
Elite Garments Inds. Ltd.,"Bade Kalmeswar, Board Bazar, Gazipur
Gazipur
Gazipur","Shirts
											 ,Ladies Tops											,Boys Shirts											,Light Outwear"
N/A,N/A,N/A
Emaz Fashion Wear Ltd.,"Holding # 119, Ward # 03, Block # D, Ashulia Main Road
Dhaka
Turag","t-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
N/A,N/A,N/A
Emerald Dresses Ltd.,"Haji Adam ali Complex, Deger Chala
Gazipur
National University","T-Shirts
											 ,Polo Shirts"
EMP Dhaka Co. Ltd.,"Islampur, Kaddabazar, Word-14
Gazipur
Gazipur Sadar","T-Shirts
											 ,Polo Shirts"
Empiric Attires Ltd.,"Plot # B-404-405, BSCIC Hosiery I/E, Shashongaon, Fatullah
Narayanganj
Narayangonj","T-Shirts
											 ,Polo Shirts"
Enayet Garments Ltd.,"Road # 19, House # 2, Section # 10, Block # C
Dhaka
Mirpur","T-Shirts/Polo Shirts
											 ,Tank Top"
Endora Sweater Ltd.,"Sundorbon Complex, Chamurkhan
Dhaka
Uttara","Sweaters
											 ,Pullovers											,Cardigans"
Energypac Fashions Ltd.,"Hotapara, Bokran Monipur
Gazipur
Bhabanipur","Shirts
											 ,Pants"
Enigma Tech Ltd.,"Plot # 109, Adamjee EPZ
Narayanganj
Siddirgonj",Socks
Enoka Apparels Ltd.,"House # 41/18, Road # 4,, Ghaterchor, Shantinagar,
Dhaka
Keraniganj","Shirts
											 ,T-Shirts											,Polo Shirts"
Enrich Ltd.,"East Kolmesore, National University
Gazipur
Gazipur","Sweaters
											 ,Pullover											,Cardigan											,Jumper"
Envoy Design Ltd.,"Zamgora, Yearpur,
Dhaka
Savar","Shirts
											 ,Jackets											,Pants"
Envoy Fashions Ltd.,"Zamgora, Yearpur
Dhaka
Dhaka","Shirts
											 ,Jackets											,Cargo Pants"
Envoy Garments Ltd.,"380/13/1, East Rampura,
Dhaka
East Rampura","Shirts
											 ,Blouses"
Eon Attires Ltd.,"228/7, Dighirchala, Chandona Chowrasta
Gazipur
Joydevpur","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Epcot Apparels Ltd.,"Chandona,
Gazipur
Joydevpur","Jackets
											 ,Overalls											,Pants											,Skirts"
Epcot International Ltd.,"Mokka Tower (1st-2nd Floor), Plot # 110-72,Holding # 61/A, Mastarpara
Dhaka
Uttara","Shirts
											 ,Overalls											,Pants											,Skirts"
Epcot Jeans Ltd.,"Epcot Building (1st Floor), Chandana,
Gazipur
Joydevpur","Shirts
											 ,Jackets											,Pants											,Overalls"
Epic Garments Mafg. Co. Ltd.(U-2),"SFB # 8,, DEPZ (Extension Area), Gonak Bari
Dhaka
Savar","Shirts
											 ,Ladies Shirts"
Epic Garments Manf. Co. Ltd.,"Plot # 11-17, 32-34, Adamjee EPZ
Narayanganj
Adamjee Nagar","Bottom Pants
											 ,Denim Jeans											,Bottom Shorts											,Bermuda"
Epoch Garments Ltd.,"54, Shantinagar,
Dhaka
Shantinagar","Shirts
											 ,Jackets											,Jogging Suits"
N/A,N/A,N/A
Epyllion Knitwears Ltd.,"Plot # I/8 & I/10, Road # 6, Section # 7
Dhaka
Mirpur","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Epyllion Style Ltd.,"Bahadurpur, P.O.-Bhawal, Mirzapur, Gazipur Sadar
Gazipur
Mirzapur","T-Shirts
											 ,Polo Shirts											,Kids Items"
N/A,N/A,N/A
N/A,N/A,N/A
Escorp Apparels Ltd.,"Sarabo,
Gazipur
Gazipur","Mens Top & Bottoms
											 ,Ladies Top & Bottoms											,KIds Top & Bottoms"
ESE Knitwear Ltd.,"Plot # 1147, Khejur Bagan, Baro Ashula
Dhaka
B. Baria","Sweaters
											 ,Cardigans											,Pullovers"
Esex Limited,"384, East Rampura,
Dhaka
Rampura",Hats & Caps
ESKE Clothing Ltd.,"Berun, Jamgora, Ashulia
Dhaka
Savar","Shirts
											 ,Pants"
N/A,N/A,N/A
Esprit Apparels Ltd.,"Luna Complex (1st, 2nd & 3rd Floor), Joy Bangla road, Khailkur
Gazipur
National University","Trousers
											 ,Work Wears											,Jogging Suits											,Shorts"
N/A,N/A,N/A
N/A,N/A,N/A
Esquire Knit Composite Ltd.,"Kanchpur,
Narayanganj
Sonargaon",Knit Garments
N/A,N/A,N/A
Esquire Sweaters Ltd.,"Hossain Ahmed Road,
Narayanganj
Fatullah","Sweaters
											 ,Pullovers											,Cardigans"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
Esses Fashions Ltd.,"Beximco Inds. Park, Sarabo
Gazipur
Gazipur","Ladies Top/Bottom
											 ,Ladies Top & Bottoms											,KIds Top & Bottoms"
N/A,N/A,N/A
Ethical Garments Ltd.,"East Norshinghpur, Ashulia, Savar, Dhaka
Dhaka
Dhaka","Polar Jackets
											 ,Fleece Jackets											,CVC Cotton Jackets"
Eton Fashions Ltd.,"Notunpara, Hemayetpur, Savar
Dhaka
Dhaka","Shirts
											 ,Blouses											,Trousers"
Ettadee Jeans Ltd.,"1670/2091, West Sholashahar, Building # 3
Chittagong
Baizid","Pants
											 ,Trousers											,Bermuda											,Shorts"
Euro Apparels Ltd.,"923, K.B. Dovash Lane,
Chittagong
Goshaildanga","Jackets
											 ,Ladies Items											,Jogging Suits											,Trousers"
Euro Arte Apparels Ltd.,"Plot # 346, Kabirpur, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,Jacket"
Euro Jeans Ltd.,"Chowdhury Bari,
Gazipur
Vogra","Shirts
											 ,Jackets											,Pants"
Euro Knit Wear Ltd.,"Chowdhury Bari,
Gazipur
Vogra","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
Euroasia felt Industries Ltd.,"Gobindabari, Sardagonj,
Gazipur
Kashimpur","Shirts
											 ,Pants"
Euro-Mart Apparels Ltd.,"House # 1 (4th & 5th Floor), Road # 1, Block- B, Section # 12
Dhaka
Mirpur","Fleece Jackets
											 ,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
European Pantalon Fashion Ltd.,"Chaydana, K.B. Bazar, National University
Gazipur
National University","Shirts
											 ,Pants"
Eurotex Knitwear Ltd.,"Nayamati, Kutubpur
Narayanganj
Fatullah","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
Eurozone Fashion Ltd.,"Ka-189/3, Jamaz Road, Joar Shahara
Dhaka
Dhaka","Jackets
											 ,Pants											,Trousers											,Cargo"
Eva Sweater Ltd.,"Plot # 269,
Gazipur
Choydana","Sweaters
											 ,Jumpers											,Pullovers											,Cardigans"
Evana Garments Ltd.,"House # 4, Road # 132, Gulshan South C/A
Dhaka
Gulshan-1","Padded Jackets
											 ,Long Pants											,Tousers"
Eve Dress-Shirts Ltd.,"Ashulia,
Dhaka
Savar","Shirts
											 ,Ladies Shirts											,Children Wears"
Eve Garments Ltd.,"House # 7, Road # 20,
Dhaka
Gulshan-1","Shirts
											 ,Ladies Blouses"
Ever Fashion Ltd.,"Fuji Trade Centre (9th & 10th Floor), Cha-87/C & 87/2, Pragati Sarani
Dhaka
Dhaka","Mans T-Shirts
											 ,Girls Rib Vest											,Boys Tight Boxer"
Ever Fashion Tongi Ltd.,"Plot # D-204, 205 & 206, BSCIC I/A
Gazipur
B. Baria","Ladies Underwear
											 ,Girls Crops Bra											,Girls Cami"
Everbright Sweater Ltd.,"Kathgora Bazar, Zirabo
Dhaka
Dhaka","Sweaters
											 ,Pullovers											,Cardigans"
Everest Sweaters Ltd.,"M.H. Building, 15, Strand Road
Chittagong","Sweaters
											 ,Pullovers											,Cardigans											,Jumpers"
Evergreen Sweaters Ltd.,"Choydana,
Gazipur
Joydevpur",Sweaters
Evernal Industry Ltd.,"3/4-A, Darail, Sharaish
Gazipur
Tongi",Sweaters
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
Evince Dress Shirts Ltd.,"Plot # 33, Section # 7,
Dhaka
Mirpur",Shirts
Evince Garments Ltd.,"Plot # 33, Section # 7,
Dhaka
Mirpur","Shirts
											 ,Boy's Shirts"
N/A,N/A,N/A
Evince Limited.,"Plot # 33, Section # 7,
Dhaka
Mirpur",Shirts
Evitex Apparels Ltd.,"Shirir Chala, Bhabanipur
Gazipur
Joydevpur",Shirts
Evitex Dress Shirt Ltd.,"Shirir Chala, Bhabanipur
Gazipur
Joydevpur","Shirts
											 ,Pants"
Evitex Fashions Ltd.,"Shirir Chala, Bhabanipur
Gazipur
Joydevpur",Shirts
N/A,N/A,N/A
Ewings Garments & Textiles Ltd.,"Plot # 101/102 (2nd Floor), BSCIC I/E
Gazipur
Konabari","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Excel Apparels Ltd.,"91, Tongi I/A (1st & 2nd Floor),
Gazipur
Tongi","Shirts
											 ,Blouses"
Excel Industries Ltd.,"1414/A Khilgoan,
Dhaka
Khilgaon","Jogging Sets
											 ,Trousers											,Jackets											,Pants"
Excellent Attire Ltd.,"Dewanbari, North Kashipur, Fatullah, Narayanganj-1400
Narayanganj
Narayangonj","Shirts
											 ,Jackets											,Pants											,Trousers"
Excellent Sweater Ltd.,"193/195, Bengal Plaza, Jamgora, Uttar Gazirchat, Ashulia
Dhaka
Savar",Sweaters
Excelsior Garments Ltd.,"Dag-1098, Road # 9/C, Sector # 5, Ahalia
Dhaka
Turag","Shirts
											 ,Blouses											,Shorts"
Excom Fashions Ltd.,"Nimertec, Rajfullbariya
Dhaka
Savar","Shirts
											 ,Boxers											,Payjama"
Executive Attire Ltd.,"Habirbari,
Mymensingh
Valuka","Shirts
											 ,Pants"
Executive Hi-Fashions Ltd.,"Sirirchala, Bhabanipur
Gazipur
Gazipur","T-Shirts
											 ,Polo Shirts"
Executive Intimates Ltd.,"Gilarchala,
Gazipur
Sreepur","T-Shirts
											 ,Polo Shirts"
Exensive Fashion Ltd.,"Raj Fulbaria,
Dhaka
Savar",Pants
N/A,N/A,N/A
Experience Clothing Co. Ltd.,"Plot # 72 & 82, Ganakbari, DEPZ
Dhaka
Savar","Ladies Pants
											 ,Skirts											,Blouses											,Shorts"
N/A,N/A,N/A
Expo Dress Ltd.,"Holding # 1/A (1st floor), Section # 7
Dhaka
Mirpur","Shirts
											 ,Trousers, Pants"
N/A,N/A,N/A
Export Connection Ltd.,"1/1 A & 1/1 B, Ring Road,
Dhaka
Shamoli","Shirts
											 ,Blouses											,Trousers											,Pajama sets"
Export Knitwear Ltd.,"Sena Kalyan  Comm. Complex (4th Floor), Plot # 9, Block-F
Gazipur
Tongi","Sports Wear
											 ,Trousers											,Skirts											,Shorts"
N/A,N/A,N/A
N/A,N/A,N/A
F & P Apparels Ltd.,"2/2A, Safura Market, Aouchpara, Mukterbari Road
Gazipur
Tongi","T-Shirts
											 ,Polo Shirts"
F.B. Fashion (Pvt) Ltd.,"Khailkur, National University
Gazipur
Board Bazar","Cardigans
											 ,Pullovers											,Jersey											,Poncho"
F.F. Apparels Ltd.,"House # 27, Road # 2, O.R. Nizam Road, GEC Circle
Chittagong",Sweaters
N/A,N/A,N/A
F.M. Fashion Wear Ltd.,"457 DIT Road, West Rampura
Dhaka
Rampura","Jackets
											 ,Children Wears											,Overalls"
N/A,N/A,N/A
N/A,N/A,N/A
Fabric Touch And Design Ltd.,"Hatimara,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts"
Fabrica Knit Composite Ltd.,"Bashaid, Ashulia, Savar, Dhaka, Bangladesh
Dhaka
Dhaka","T-Shirts
											 ,Polo Shirts											,Mens Shorts											,Shirts"
Fabulous Fashions Ltd.,"Plot # 15-16, Road # 4, Section # 7
Dhaka
Mirpur",Sweaters
Fahami Apparels Ltd.,"Fahami Complex, 113, Baipail
Dhaka
Savar","Jackets
											 ,Overalls											,Pants											,Trousers"
Fahami Dresses Ltd.,"Fahami Complex, 113, Baipail
Dhaka
Savar","Shirts
											 ,Jackets											,Pants											,Trousers"
Fahami Industries Ltd.,"Fahami Complex, 113, Baipail
Dhaka
Savar","Shirts
											 ,Jackets											,Pants											,T-Shirts"
Fahami Knitwear Ltd.,"Fahami Complex, 113, Baipail
Dhaka
Savar","T-Shirts
											 ,Polo Shirts											,Trousers											,Shorts"
Fahami Shirts Ltd.,"Fahami Complex, 113, Baipail
Dhaka
Savar","Shirts
											 ,Coats											,Coveralls											,Overalls"
Fahami Trousers Ltd.,"113, Baipail,
Dhaka
Savar","Shirts
											 ,Trousers											,Pants"
Fahim Attire And Composite Ltd.,"Kamarjuri, Barari Para, National University
Gazipur
Joydevpur","T-Shirts
											 ,Polo Shirts											,Fleece Jackets											,Pants"
Fahim Textile Mills Ltd.,"Barabo, Tarabo,
Narayanganj
Rupganj","Home Textile
											 ,Eyelet Curtain											,Pillow Case"
Fahima Knit Fashion Ltd.,"Mir Jakir Complex, Block # B, Holding # 409, Naljani
Gazipur
Joydevpur","T-Shirts
											 ,Polo Shirts"
Fair Apparels Ltd.,"A/28-29, BSCIC Inds. Estate,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts											,Sweat Shirts											,Tank Top"
N/A,N/A,N/A
N/A,N/A,N/A
Fair Tex Sweater Ltd.,"Haji Kafiluddin Plaza (4th Floor), Dagerchala
Gazipur
National University",Sweater
Fair Washing Ltd.,"East Chandura, Kaliakoir,
Gazipur
Shafipur",Jackets
N/A,N/A,N/A
N/A,N/A,N/A
Fairmonde Knitting Ltd.,"68/X, Sagarica Road,
Chittagong
Pahartoli","Wind Pants
											 ,Wind Jackets											,Shorts"
N/A,N/A,N/A
N/A,N/A,N/A
Faiyaz Apparel Ltd.,"888 Shewrapara, Rokeya Sharani
Dhaka
Dhaka","Men's Shirts
											 ,Girls Blouses"
Faiza Industries Ltd.,"Bymile, Konabari
Gazipur
B. Baria","Shirts
											 ,Pants"
Faiza Sweater Ltd.,"Bhason Sarak,
Gazipur
Adhepasa","Sweaters
											 ,Cardigans"
Fakhruddin Textile Mills Ltd.,"Kewa, Ghorgaria, Master Bari
Gazipur
Gazipur","T-Shirt
											 ,Polo Shirt											,Tank Top											,Pant"
Fakir Apparels Ltd.,"A-127-131, 135-138, 142-145, B-501-503, BSCIC Hosiery Shilpa Nagari, Shashangaon
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts											,Trousers											,Tank Tops"
Fakir Knitwears Ltd.,"Kayempur,
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts											,Tank Tops"
Falcon International,"Plot # 2/1 (2nd, 3rd & 4th Floor), Road # 7, Nobodoy Housing Society
Dhaka
Mohammadpur","T-Shirts
											 ,Polo Shirts											,Shorts											,Trousers"
Falcon Int'l Knit Composite,"Plot # 2/1 (Basement, Ground, 1st Fl), Road # 7, Nobodoy Housing Society
Dhaka
Mohammadpur","T-Shirts
											 ,Polo Shirts											,Trousers"
N/A,N/A,N/A
Faltex Composite Ltd.,"Plot # B/18, BSCIC I/E
Gazipur
Tongi","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
Fame Composite Ltd.,"Dakshin, Panishail,
Gazipur
Kashimpur","T-Shirts
											 ,Polo Shirts"
Fame Design Ltd.,"Plot # A-115/116, BSCIC, Hosiery Shilpanagary
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
Fame Knitwears Ltd.,"Haji Kujrat Ali Mollah Super Market, 1 Harunabad, Pallabi
Dhaka
Mirpur",Sweaters
N/A,N/A,N/A
Fame Sweaters Ltd.,"Darail, Sataish,
Gazipur
Tongi",Sweaters
Familiar Limited,"South Panisile,
Gazipur
Kashimpur","Children Wears
											 ,Polo Shirts											,Bottom Wears"
Family Style Garments Ltd.,"East Delpara,
Narayanganj
Fatullah","Shirts
											 ,Trousers											,Pants											,Skirts"
Familytex (BD) Ltd.,"Plot # 47 - 48, Road # 5, Sector # 4
Chittagong
CEPZ","Sweater
											 ,Woven Bottoms											,Knit Top"
Famous Design Ltd.,"246/1/F, West Agargaon, Sher-E-Bangla Nagar
Dhaka
Sher-E-Bangla Nagar","Shirts
											 ,Pants											,T-Shirts											,Polo Shirts"
Fancy Fashion Sweaters Ltd.,"1153-54, Shahid Siddique Road, Khailkur
Gazipur
Gazipur","Sweaters
											 ,Pullovers											,Cardigans											,Tank Tops"
N/A,N/A,N/A
N/A,N/A,N/A
Far East Knitting & Dyeing Ind. Ltd.,"15/1, Shahid Nazrul Islam Road, Hatkhola
Dhaka
Dhaka","Ladies Dresses
											 ,T-Shirts"
Faraz Fabrics (Pvt.) Ltd.,"140, Dewanhat, 2nd Rail Gate
Chittagong","Jackets
											 ,Skirts											,Overalls											,Jumpers"
Fareast Dresses Ltd.,"1/11, Ahmed Nagar, Section # 2
Dhaka
B. Baria","Shirts
											 ,Ladies Blouses											,Skirts"
Farha Apparels Ltd.,"1-D, 1-20 Kolwala Para, Section # 1
Dhaka
Mirpur","Jackets
											 ,Pants"
N/A,N/A,N/A
N/A,N/A,N/A
Farida Fashion Sweater Ltd.,"Islam Mansion (5th Floor), 6606(P) South Halishahar, Near EPZ Gate
Chittagong
Bandar",Sweaters
Farida Garments (Pvt.) Ltd.,"A/79, BSCIC I/A, Sasongaon
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
Fariha Knit Tex Ltd.,"Baroibog, Enayat Nagar
Narayanganj
Fatullah","T-Shirts
											 ,Polo Shirts											,Jackets											,Pants"
N/A,N/A,N/A
Farisha Composite Knitwear Ltd.,"352, Konabari, Nilnagar
Gazipur
Gazipur Sadar","T-Shirts
											 ,Polo Shirts											,Tank Top"
Farkantex Ltd.,"Plot # 1 & 2, Sector # 5/A,
Chittagong
CEPZ","Denim Jackets
											 ,Denim Trousers											,Work Wears											,Denim Overalls"
Farmin Apparels Limited,"154, Kamrabad, Aturar Depot
Chittagong
Aturar Depot","Trousers
											 ,Jogging Suits											,Shorts											,Jackets"
Farmin Fashion Design Ltd.,"154, Kamrabad, Aturer Depot
Chittagong
Aturar Depot","Trousers
											 ,Jogging Suits											,Shorts											,Jackets"
Farnoor Garments Ltd.,"1028/1/2, Malibagh Bazar Road,
Dhaka
Malibagh","Trousers
											 ,Jackets											,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
Farseeing Knit Composite Ltd.,"Faridpur, Telihat,
Gazipur
Sreepur","T-Shirts
											 ,Polo Shirts"
Farshe Dyeing Ltd.,"Harinchala, Konabari
Gazipur
Joydevpur",Sweaters
Farzana Fashions World Ltd.,"Nur Complex, N-224, Dighirpar
Chittagong
Dewanhat","T-Shirts
											 ,Polo Shirts											,Briefs											,Bikini"
Fashion 2000 Ltd.,"367/1, Senpara Parbata, (8th Floor)
Dhaka
Mirpur","Blouses
											 ,Trousers"
Fashion Apparel Industries,"FIDC Road, BSCIC I/A,
Chittagong",Dress Shirts
N/A,N/A,N/A
Fashion Asia Ltd.,"Holding # 4/2-A (4th & 5th Floor), Mouza # 135, Gopalpur, Monnu Nagar
Gazipur
Tongi","Fleece Jackets
											 ,T-Shirts											,Polo Shirts"
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
Fashion Craft Design Ltd.,"Beron, Zirabo, Ashulia
Dhaka
Savar","Shirts
											 ,Pants											,Trousers"
Fashion Craft Knit Wear Ltd.,"Beron, Zirabo, Ashulia
Dhaka
Savar","Denim Jackets
											 ,Denim Pants											,Twil Pants"
Fashion Craft Ltd.,"A/3 BSCIC I/A, Sagarica Road
Chittagong
Pahartali","Jackets
											 ,Pants											,Swim Wears											,Trousers"
Fashion Create Apparels Ltd.,"1248/1249, D.T. Road, Dhaniala Para
Chittagong
Double Mouring","Shirts
											 ,T-Shirts											,Shorts"
Fashion Enterprise,"Plot # 4, Avenue # 1, Section # 7
Dhaka
Mirpur","Shirts
											 ,Pants											,Jackets											,Skirts"
Fashion Export International Ltd.,"Jiban Bhaban, 435/A, Sadrghat Road
Chittagong
Sadarghat","Jackets
											 ,T-Shirts											,Pants											,Bath Robe"
Fashion Exposure Ltd.,"Elias Tower, 4 Harunabad, Section # 12
Dhaka
Mirpur",Sweaters
Fashion Fair Ltd.,"1956/A, Airport Road, South Halishahar
Chittagong
Bandar","Jackets
											 ,Pants											,Knit Items"
Fashion Flash Ltd.,"149, Azampur, Shah Kabir Mazar Road
Dhaka
Dhaka","Trousers
											 ,Skirts"
Fashion Forum Ltd.,"367/1, Senpara Parbata, Section # 10
Dhaka
Mirpur","Shirts
											 ,Pants"
Fashion Fx Ltd.,"Harbaid, Pubail,
Gazipur
Gazipur Sadar","T-Shirts
											 ,Polo Shirts"
N/A,N/A,N/A
Fashion Gears Ltd.,"Jharna Complex, Soydana, Malekerbari,National University
Gazipur
Board Bazar","Jackets
											 ,Pants											,T-Shirts"
Fashion House (Southern) Ltd.,"Bara Rangamatia, Ashulia
Dhaka
Savar","Shirts
											 ,Blouses"
Fashion Innovation Ltd.,"Shah Khartail Complex, Khartail, Shataish
Gazipur
Tongi","Shirts
											 ,Trousers											,T-Shirts											,Pants"
Fashion Jeans Ltd.,"149/150, Azampur, Shah Kabir Mazar Road
Dhaka
Uttara","Shirts
											 ,Trousers											,Pants"
Fashion Knit Garments Ltd.,"Holding # 4 (2nd Floor), Cornapara
Dhaka
Savar","Children Wears
											 ,Ladies Tops"
Fashion Linkers Ltd.,"31, DIT Road (4th & 5th Fl), Malibagh Chowdhury Para
Dhaka
Malibagh","Jackets
											 ,Trousers											,Pants"
Fashion Makers Ltd.,"Gargaria Master Bari, Kewa
Gazipur
Sreepur","T-Shirts
											 ,Polo Shirts											,Sweat Shirts"
Fashion Network Ltd.,"6, Shingbari Road, Boro Dewra
Gazipur
Tongi","Shirts
											 ,Ladies Dress											,Children Wears											,Jackets"
N/A,N/A,N/A
Fashion of Wales Ltd.,"Plot # C/28/29 (3rd - 5th Floor), BSCIC I/A, Sagarika Road
Chittagong","Shirts
											 ,Pants											,T-Shirts											,Panties"
Fashion Park Int'l Ltd.,"Hajee Faiz Mansion, 191/192, Lalchand Road
Chittagong","Fleece Jackets
											 ,T-Shirts											,Trousers"
Fashion Plus Ltd.,"151/8, Green Road,
Dhaka
Dhanmondi","Shirta
											 ,Jackets											,Pants"
Fashion Point Ltd,"Plot # S-41-42, BSCIC Industrial Estate, Konabari
Gazipur
Gazipur","T-Shirts
											 ,Polo Shirts											,Sweat Shirts											,Pants"
